"Order ID","Order Key",Title,"Order Total","Completed Date","Order Status","Discount Amount ","Coupon Code","Coupons Used","Total Discount Amount","Total Fee Amount","Fee Taxes","Refund Total","Refund ID","Refund Amounts","Refund Reason","Refund Date","Refund Author Email"
1062,wc_order_5c30eccdce954,"Order - January 6, 2019 @ 04:43 AM",39.95,,wc-pending,,,,0,,,0,,,,,
1067,wc_order_5c33a01f5014e,"Order - January 8, 2019 @ 05:53 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1071,wc_order_5c350105b1b74,"Order - January 9, 2019 @ 06:59 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1080,wc_order_5c38350e61e00,"Order - January 11, 2019 @ 05:17 PM",144.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1082,wc_order_5c383f7d004f4,"Order - January 11, 2019 @ 06:02 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1088,wc_order_5c3bc97d4f443,"Order - January 14, 2019 @ 10:27 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1094,wc_order_5c3cf96a85e08,"Order - January 15, 2019 @ 08:04 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1097,wc_order_5c3d2bdecae20,"Order - January 15, 2019 @ 11:39 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1101,wc_order_5c3d3d9e468d6,"Order - January 15, 2019 @ 12:55 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1107,wc_order_5c3ec9b5cfa98,"Order - January 16, 2019 @ 05:05 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1127,wc_order_5c41dc2f07c67,"Order - January 19, 2019 @ 01:01 AM",49.95,,wc-pending,,,,0,,,0,,,,,
1129,wc_order_5c4245a29fe08,"Order - January 19, 2019 @ 08:31 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1132,wc_order_5c42d4851c2c9,"Order - January 19, 2019 @ 06:40 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1134,wc_order_5c43e0ebeea45,"Order - January 20, 2019 @ 01:46 PM",159.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1140,wc_order_5c452f2d2273f,"Order - January 21, 2019 @ 01:32 PM",159.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1143,wc_order_5c4548be7b1b8,"Order - January 21, 2019 @ 03:21 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1148,wc_order_5c46c20464d21,"Order - January 22, 2019 @ 06:11 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1153,wc_order_5c48e6fb969a8,"Order - January 24, 2019 @ 09:13 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1174,wc_order_5c4b95346cf9f,"Order - January 26, 2019 @ 10:01 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1177,wc_order_5c4c0b8817dfd,"Order - January 26, 2019 @ 06:26 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1179,wc_order_5c4cab7e6eaa0,"Order - January 27, 2019 @ 05:48 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1183,wc_order_5c4d64fecf1e3,"Order - January 27, 2019 @ 06:59 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1185,wc_order_5c4e76615fa23,"Order - January 28, 2019 @ 02:26 PM",299.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1188,wc_order_5c4e8cf6aa971,"Order - January 28, 2019 @ 04:02 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1190,wc_order_5c4edd36b5418,"Order - January 28, 2019 @ 09:45 PM",89.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1192,wc_order_5c4f70169962e,"Order - January 29, 2019 @ 08:11 AM",199.90,2019-03-27,wc-completed,,,,0,,,0,,,,,
1203,wc_order_5c4fc03d5f447,"Order - January 29, 2019 @ 01:53 PM",44.95,2019-02-06,wc-completed,,,,0,,,0,,,,,
1206,wc_order_5c4fe40901f99,"Order - January 29, 2019 @ 04:26 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1208,wc_order_5c501a8016a46,"Order - January 29, 2019 @ 08:18 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1213,wc_order_5c50686054c61,"Order - January 30, 2019 @ 01:51 AM",89.95,,wc-cancelled,,,,0,,,0,,,,,
1215,wc_order_5c506bac8f129,"Order - January 30, 2019 @ 02:05 AM",99.95,,wc-cancelled,,,,0,,,0,,,,,
1217,wc_order_5c5072734d72a,"Order - January 30, 2019 @ 02:34 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1219,wc_order_5c50d085aecb9,"Order - January 30, 2019 @ 09:15 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1224,wc_order_5c51061561576,"Order - January 30, 2019 @ 01:04 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1230,wc_order_5c5132d07be06,"Order - January 30, 2019 @ 04:14 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1234,wc_order_5c51a8217b53b,"Order - January 31, 2019 @ 12:35 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1237,wc_order_5c52751be1bad,"Order - January 31, 2019 @ 03:10 PM",49.95,,wc-on-hold,,,,0,,,0,,,,,
1240,wc_order_5c52b9467682c,"Order - January 31, 2019 @ 08:00 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1242,wc_order_5c5344a33845f,"Order - February 1, 2019 @ 05:55 AM",159.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1247,wc_order_5c53910a4d876,"Order - February 1, 2019 @ 11:21 AM",49.95,,wc-cancelled,,,,0,,,0,,,,,
1250,wc_order_5c54debe8201d,"Order - February 2, 2019 @ 11:05 AM",49.95,,wc-on-hold,,,,0,,,0,,,,,
1253,wc_order_5c54f87e5ccfd,"Order - February 2, 2019 @ 12:55 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1256,wc_order_5c561952462d2,"Order - February 3, 2019 @ 09:27 AM",299.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1258,wc_order_5c561a7a1604b,"Order - February 3, 2019 @ 09:32 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
